epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,382.618,1.91295,2.2755,1.62538,0.56589,0.27892,0.31493,0.05852,2.80851,2.09334,2.59042,0.000552278,0.000552278,0.000552278
2,765.872,1.6444,1.49577,1.43405,0.47187,0.64983,0.51291,0.25326,1.77294,1.52295,1.60698,0.00103482,0.00103482,0.00103482
3,1158.62,1.56555,1.30499,1.39067,0.67782,0.50345,0.62203,0.31649,1.78216,1.32446,1.59399,0.00144402,0.00144402,0.00144402
